H,data,variavel,piso_MAE,dl_MAE_s42,dl_MAE_s7,dl_MAE_s123,dl_MAE_media,dl_MAE_dp
12,2022-07-20,ph,0.0425,0.0225,0.0238,0.0195,0.0219,0.0022
12,2022-07-20,od,0.015,0.0202,0.0371,0.0111,0.0228,0.0132
12,2022-07-21,ph,0.0367,0.021,0.0196,0.022,0.0209,0.0012
12,2022-07-21,od,0.1383,0.0315,0.0325,0.0179,0.0273,0.0081
12,2022-07-22,ph,0.0175,0.0219,0.0136,0.0173,0.0176,0.0042
12,2022-07-22,od,0.1733,0.0177,0.0333,0.0259,0.0256,0.0078
12,2022-07-23,ph,0.0233,0.0331,0.0287,0.0262,0.0294,0.0035
12,2022-07-23,od,0.0325,0.0523,0.0625,0.0638,0.0596,0.0063
12,2022-07-24,ph,0.0183,0.0154,0.01,0.0146,0.0133,0.0029
12,2022-07-24,od,0.0192,0.0154,0.0289,0.0246,0.023,0.0069
12,2022-07-25,ph,0.0192,0.0263,0.0209,0.0214,0.0229,0.003
12,2022-07-25,od,0.2425,0.0159,0.0423,0.0838,0.0474,0.0343
12,2022-07-26,ph,0.0142,0.008,0.0091,0.0123,0.0098,0.0022
12,2022-07-26,od,0.0842,0.0162,0.0422,0.0408,0.0331,0.0146
12,2022-07-27,ph,0.03,0.0224,0.0192,0.019,0.0202,0.0019
12,2022-07-27,od,0.2758,0.0208,0.0181,0.0261,0.0217,0.0041
12,2022-07-28,ph,0.4458,0.0241,0.0108,0.0165,0.0172,0.0066
12,2022-07-28,od,0.2042,0.0465,0.0374,0.0183,0.034,0.0144
12,2022-07-29,ph,0.0025,0.0344,0.0195,0.026,0.0266,0.0075
12,2022-07-29,od,0.045,0.02,0.0233,0.0123,0.0186,0.0056
12,2023-01-18,ph,0.0475,0.0071,0.01,0.0111,0.0094,0.002
12,2023-01-18,od,0.03,0.0327,0.0421,0.0255,0.0334,0.0083
12,2023-01-19,ph,0.0567,0.006,0.0122,0.0119,0.01,0.0035
12,2023-01-19,od,0.0075,0.0667,0.048,0.02,0.0449,0.0235
12,2023-01-20,ph,0.0342,0.0051,0.0098,0.0089,0.0079,0.0025
12,2023-01-20,od,0.0383,0.0621,0.0334,0.0195,0.0383,0.0217
12,2023-01-21,ph,0.0375,0.0063,0.007,0.0084,0.0072,0.0011
12,2023-01-21,od,0.015,0.0818,0.0374,0.024,0.0477,0.0303
12,2023-01-22,ph,0.0158,0.0054,0.009,0.0075,0.0073,0.0018
