H,fatia,nome,qualitativa,variavel,modelo,seed,MAE,RMSE
12,2024-04-19->2024-04-28,abr24,False,ph,sazonal-naive-288,0,0.0282,0.0361
12,2024-04-19->2024-04-28,abr24,False,ph,dlinear,42,0.0146,0.0183
12,2024-04-19->2024-04-28,abr24,False,ph,dlinear,7,0.0146,0.0184
12,2024-04-19->2024-04-28,abr24,False,ph,dlinear,123,0.0148,0.0185
12,2024-04-19->2024-04-28,abr24,False,od,sazonal-naive-288,0,0.1186,0.1781
12,2024-04-19->2024-04-28,abr24,False,od,dlinear,42,0.0397,0.0508
12,2024-04-19->2024-04-28,abr24,False,od,dlinear,7,0.0374,0.0469
12,2024-04-19->2024-04-28,abr24,False,od,dlinear,123,0.043,0.054
12,2024-07-20->2024-07-29,jul24,False,ph,sazonal-naive-288,0,0.0392,0.0552
12,2024-07-20->2024-07-29,jul24,False,ph,dlinear,42,0.0172,0.0228
12,2024-07-20->2024-07-29,jul24,False,ph,dlinear,7,0.0177,0.0231
12,2024-07-20->2024-07-29,jul24,False,ph,dlinear,123,0.0169,0.0228
12,2024-07-20->2024-07-29,jul24,False,od,sazonal-naive-288,0,0.1328,0.1727
12,2024-07-20->2024-07-29,jul24,False,od,dlinear,42,0.0537,0.0696
12,2024-07-20->2024-07-29,jul24,False,od,dlinear,7,0.058,0.0749
12,2024-07-20->2024-07-29,jul24,False,od,dlinear,123,0.0528,0.0715
12,2024-09-15->2024-09-24,set24,False,ph,sazonal-naive-288,0,0.0691,0.0918
12,2024-09-15->2024-09-24,set24,False,ph,dlinear,42,0.0463,0.0605
12,2024-09-15->2024-09-24,set24,False,ph,dlinear,7,0.046,0.0606
12,2024-09-15->2024-09-24,set24,False,ph,dlinear,123,0.0466,0.0614
12,2024-09-15->2024-09-24,set24,False,od,sazonal-naive-288,0,0.1981,0.274
12,2024-09-15->2024-09-24,set24,False,od,dlinear,42,0.074,0.0957
12,2024-09-15->2024-09-24,set24,False,od,dlinear,7,0.0786,0.099
12,2024-09-15->2024-09-24,set24,False,od,dlinear,123,0.0774,0.0976
12,2024-11-20->2024-11-24,nov24,True,ph,sazonal-naive-288,0,0.0167,0.0226
12,2024-11-20->2024-11-24,nov24,True,ph,dlinear,42,0.0149,0.0204
12,2024-11-20->2024-11-24,nov24,True,ph,dlinear,7,0.0146,0.0199
12,2024-11-20->2024-11-24,nov24,True,ph,dlinear,123,0.0159,0.0217
12,2024-11-20->2024-11-24,nov24,True,od,sazonal-naive-288,0,0.1074,0.1179
12,2024-11-20->2024-11-24,nov24,True,od,dlinear,42,0.0819,0.1022
12,2024-11-20->2024-11-24,nov24,True,od,dlinear,7,0.0812,0.1023
12,2024-11-20->2024-11-24,nov24,True,od,dlinear,123,0.0957,0.117
12,2024-12-13->2024-12-22,dez24,False,ph,sazonal-naive-288,0,0.0381,0.0521
12,2024-12-13->2024-12-22,dez24,False,ph,dlinear,42,0.0201,0.0261
12,2024-12-13->2024-12-22,dez24,False,ph,dlinear,7,0.0205,0.0265
12,2024-12-13->2024-12-22,dez24,False,ph,dlinear,123,0.0219,0.0289
12,2024-12-13->2024-12-22,dez24,False,od,sazonal-naive-288,0,0.2546,0.3687
12,2024-12-13->2024-12-22,dez24,False,od,dlinear,42,0.0779,0.1016
12,2024-12-13->2024-12-22,dez24,False,od,dlinear,7,0.0914,0.1136
12,2024-12-13->2024-12-22,dez24,False,od,dlinear,123,0.0858,0.1106
12,2023-01-18->2023-01-27,jan23aux,False,ph,sazonal-naive-288,0,0.0288,0.034
12,2023-01-18->2023-01-27,jan23aux,False,ph,dlinear,42,0.0103,0.0135
12,2023-01-18->2023-01-27,jan23aux,False,ph,dlinear,7,0.0107,0.0139
12,2023-01-18->2023-01-27,jan23aux,False,ph,dlinear,123,0.0112,0.0143
12,2023-01-18->2023-01-27,jan23aux,False,od,sazonal-naive-288,0,0.0701,0.107
12,2023-01-18->2023-01-27,jan23aux,False,od,dlinear,42,0.0517,0.0653
12,2023-01-18->2023-01-27,jan23aux,False,od,dlinear,7,0.059,0.0734
12,2023-01-18->2023-01-27,jan23aux,False,od,dlinear,123,0.0548,0.0703
12,2022-07-20->2022-07-29,jul22aux,False,ph,sazonal-naive-288,0,0.0667,0.141
12,2022-07-20->2022-07-29,jul22aux,False,ph,dlinear,42,0.0247,0.0408
12,2022-07-20->2022-07-29,jul22aux,False,ph,dlinear,7,0.0242,0.0417
12,2022-07-20->2022-07-29,jul22aux,False,ph,dlinear,123,0.0247,0.0419
12,2022-07-20->2022-07-29,jul22aux,False,od,sazonal-naive-288,0,0.1387,0.1726
12,2022-07-20->2022-07-29,jul22aux,False,od,dlinear,42,0.0436,0.0596
12,2022-07-20->2022-07-29,jul22aux,False,od,dlinear,7,0.0415,0.0548
12,2022-07-20->2022-07-29,jul22aux,False,od,dlinear,123,0.0423,0.0559
72,2024-04-19->2024-04-28,abr24,False,ph,sazonal-naive-288,0,0.0282,0.0362
72,2024-04-19->2024-04-28,abr24,False,ph,dlinear,42,0.0179,0.0224
72,2024-04-19->2024-04-28,abr24,False,ph,dlinear,7,0.0185,0.0232
72,2024-04-19->2024-04-28,abr24,False,ph,dlinear,123,0.0187,0.0236
72,2024-04-19->2024-04-28,abr24,False,od,sazonal-naive-288,0,0.119,0.1782
72,2024-04-19->2024-04-28,abr24,False,od,dlinear,42,0.0701,0.0959
72,2024-04-19->2024-04-28,abr24,False,od,dlinear,7,0.0626,0.0814
72,2024-04-19->2024-04-28,abr24,False,od,dlinear,123,0.065,0.0843
72,2024-07-20->2024-07-29,jul24,False,ph,sazonal-naive-288,0,0.0392,0.0552
72,2024-07-20->2024-07-29,jul24,False,ph,dlinear,42,0.0255,0.0344
72,2024-07-20->2024-07-29,jul24,False,ph,dlinear,7,0.0301,0.0384
72,2024-07-20->2024-07-29,jul24,False,ph,dlinear,123,0.0281,0.0371
72,2024-07-20->2024-07-29,jul24,False,od,sazonal-naive-288,0,0.1324,0.1724
72,2024-07-20->2024-07-29,jul24,False,od,dlinear,42,0.1098,0.1475
72,2024-07-20->2024-07-29,jul24,False,od,dlinear,7,0.0976,0.1294
72,2024-07-20->2024-07-29,jul24,False,od,dlinear,123,0.1033,0.1335
72,2024-09-15->2024-09-24,set24,False,ph,sazonal-naive-288,0,0.069,0.0915
72,2024-09-15->2024-09-24,set24,False,ph,dlinear,42,0.0554,0.0716
72,2024-09-15->2024-09-24,set24,False,ph,dlinear,7,0.0538,0.0697
72,2024-09-15->2024-09-24,set24,False,ph,dlinear,123,0.0563,0.0728
72,2024-09-15->2024-09-24,set24,False,od,sazonal-naive-288,0,0.1973,0.2738
72,2024-09-15->2024-09-24,set24,False,od,dlinear,42,0.1564,0.2049
72,2024-09-15->2024-09-24,set24,False,od,dlinear,7,0.1447,0.1865
72,2024-09-15->2024-09-24,set24,False,od,dlinear,123,0.1464,0.1893
72,2024-11-20->2024-11-24,nov24,True,ph,sazonal-naive-288,0,0.0175,0.0249
72,2024-11-20->2024-11-24,nov24,True,ph,dlinear,42,0.0198,0.0259
72,2024-11-20->2024-11-24,nov24,True,ph,dlinear,7,0.0188,0.0249
72,2024-11-20->2024-11-24,nov24,True,ph,dlinear,123,0.0194,0.0251
72,2024-11-20->2024-11-24,nov24,True,od,sazonal-naive-288,0,0.1046,0.1155
72,2024-11-20->2024-11-24,nov24,True,od,dlinear,42,0.1653,0.2173
72,2024-11-20->2024-11-24,nov24,True,od,dlinear,7,0.1132,0.1411
72,2024-11-20->2024-11-24,nov24,True,od,dlinear,123,0.1279,0.1613
72,2024-12-13->2024-12-22,dez24,False,ph,sazonal-naive-288,0,0.0377,0.0519
72,2024-12-13->2024-12-22,dez24,False,ph,dlinear,42,0.025,0.0329
72,2024-12-13->2024-12-22,dez24,False,ph,dlinear,7,0.0262,0.0344
72,2024-12-13->2024-12-22,dez24,False,ph,dlinear,123,0.0285,0.0365
72,2024-12-13->2024-12-22,dez24,False,od,sazonal-naive-288,0,0.2536,0.3678
72,2024-12-13->2024-12-22,dez24,False,od,dlinear,42,0.1784,0.2431
72,2024-12-13->2024-12-22,dez24,False,od,dlinear,7,0.1432,0.1968
72,2024-12-13->2024-12-22,dez24,False,od,dlinear,123,0.1434,0.192
72,2023-01-18->2023-01-27,jan23aux,False,ph,sazonal-naive-288,0,0.0288,0.0341
72,2023-01-18->2023-01-27,jan23aux,False,ph,dlinear,42,0.0135,0.0179
72,2023-01-18->2023-01-27,jan23aux,False,ph,dlinear,7,0.0144,0.0184
72,2023-01-18->2023-01-27,jan23aux,False,ph,dlinear,123,0.0144,0.0185
72,2023-01-18->2023-01-27,jan23aux,False,od,sazonal-naive-288,0,0.0704,0.107
72,2023-01-18->2023-01-27,jan23aux,False,od,dlinear,42,0.0902,0.1192
72,2023-01-18->2023-01-27,jan23aux,False,od,dlinear,7,0.0811,0.1057
72,2023-01-18->2023-01-27,jan23aux,False,od,dlinear,123,0.0772,0.101
72,2022-07-20->2022-07-29,jul22aux,False,ph,sazonal-naive-288,0,0.067,0.1411
72,2022-07-20->2022-07-29,jul22aux,False,ph,dlinear,42,0.0314,0.0596
72,2022-07-20->2022-07-29,jul22aux,False,ph,dlinear,7,0.0338,0.066
72,2022-07-20->2022-07-29,jul22aux,False,ph,dlinear,123,0.0327,0.0633
72,2022-07-20->2022-07-29,jul22aux,False,od,sazonal-naive-288,0,0.1388,0.1732
72,2022-07-20->2022-07-29,jul22aux,False,od,dlinear,42,0.0785,0.1055
72,2022-07-20->2022-07-29,jul22aux,False,od,dlinear,7,0.0744,0.0984
72,2022-07-20->2022-07-29,jul22aux,False,od,dlinear,123,0.07,0.0918
288,2024-04-19->2024-04-28,abr24,False,ph,sazonal-naive-288,0,0.0282,0.0361
288,2024-04-19->2024-04-28,abr24,False,ph,dlinear,42,0.0228,0.0291
288,2024-04-19->2024-04-28,abr24,False,ph,dlinear,7,0.0232,0.0293
288,2024-04-19->2024-04-28,abr24,False,ph,dlinear,123,0.0233,0.0296
288,2024-04-19->2024-04-28,abr24,False,od,sazonal-naive-288,0,0.124,0.1822
288,2024-04-19->2024-04-28,abr24,False,od,dlinear,42,0.1046,0.1346
288,2024-04-19->2024-04-28,abr24,False,od,dlinear,7,0.1001,0.132
288,2024-04-19->2024-04-28,abr24,False,od,dlinear,123,0.1048,0.1366
288,2024-07-20->2024-07-29,jul24,False,ph,sazonal-naive-288,0,0.0391,0.0552
288,2024-07-20->2024-07-29,jul24,False,ph,dlinear,42,0.0377,0.0504
288,2024-07-20->2024-07-29,jul24,False,ph,dlinear,7,0.0381,0.05
288,2024-07-20->2024-07-29,jul24,False,ph,dlinear,123,0.0367,0.049
288,2024-07-20->2024-07-29,jul24,False,od,sazonal-naive-288,0,0.1316,0.172
288,2024-07-20->2024-07-29,jul24,False,od,dlinear,42,0.1524,0.1985
288,2024-07-20->2024-07-29,jul24,False,od,dlinear,7,0.1385,0.1751
288,2024-07-20->2024-07-29,jul24,False,od,dlinear,123,0.1456,0.1868
288,2024-09-15->2024-09-24,set24,False,ph,sazonal-naive-288,0,0.0693,0.0919
288,2024-09-15->2024-09-24,set24,False,ph,dlinear,42,0.0612,0.0791
288,2024-09-15->2024-09-24,set24,False,ph,dlinear,7,0.0602,0.0774
288,2024-09-15->2024-09-24,set24,False,ph,dlinear,123,0.0609,0.0779
288,2024-09-15->2024-09-24,set24,False,od,sazonal-naive-288,0,0.1969,0.2737
288,2024-09-15->2024-09-24,set24,False,od,dlinear,42,0.1964,0.2507
288,2024-09-15->2024-09-24,set24,False,od,dlinear,7,0.1957,0.2518
288,2024-09-15->2024-09-24,set24,False,od,dlinear,123,0.1839,0.2433
288,2024-11-20->2024-11-24,nov24,True,ph,sazonal-naive-288,0,0.0176,0.0262
288,2024-11-20->2024-11-24,nov24,True,ph,dlinear,42,0.0222,0.028
288,2024-11-20->2024-11-24,nov24,True,ph,dlinear,7,0.0226,0.0284
288,2024-11-20->2024-11-24,nov24,True,ph,dlinear,123,0.0243,0.0301
288,2024-11-20->2024-11-24,nov24,True,od,sazonal-naive-288,0,0.0911,0.1039
288,2024-11-20->2024-11-24,nov24,True,od,dlinear,42,0.1936,0.2517
288,2024-11-20->2024-11-24,nov24,True,od,dlinear,7,0.1989,0.2565
288,2024-11-20->2024-11-24,nov24,True,od,dlinear,123,0.165,0.2048
288,2024-12-13->2024-12-22,dez24,False,ph,sazonal-naive-288,0,0.0354,0.0488
288,2024-12-13->2024-12-22,dez24,False,ph,dlinear,42,0.034,0.0442
288,2024-12-13->2024-12-22,dez24,False,ph,dlinear,7,0.0349,0.0456
288,2024-12-13->2024-12-22,dez24,False,ph,dlinear,123,0.0347,0.0435
288,2024-12-13->2024-12-22,dez24,False,od,sazonal-naive-288,0,0.2499,0.3616
288,2024-12-13->2024-12-22,dez24,False,od,dlinear,42,0.2465,0.3399
288,2024-12-13->2024-12-22,dez24,False,od,dlinear,7,0.2389,0.3078
288,2024-12-13->2024-12-22,dez24,False,od,dlinear,123,0.2245,0.3077
288,2023-01-18->2023-01-27,jan23aux,False,ph,sazonal-naive-288,0,0.0294,0.0346
288,2023-01-18->2023-01-27,jan23aux,False,ph,dlinear,42,0.0234,0.0292
288,2023-01-18->2023-01-27,jan23aux,False,ph,dlinear,7,0.0227,0.0285
288,2023-01-18->2023-01-27,jan23aux,False,ph,dlinear,123,0.0228,0.0288
288,2023-01-18->2023-01-27,jan23aux,False,od,sazonal-naive-288,0,0.0717,0.1085
288,2023-01-18->2023-01-27,jan23aux,False,od,dlinear,42,0.1027,0.1328
288,2023-01-18->2023-01-27,jan23aux,False,od,dlinear,7,0.1103,0.1412
