H,data,variavel,piso_MAE,ci_MAE_s42,ci_MAE_s7,ci_MAE_s123,ci_MAE_media,ci_MAE_dp
12,2022-07-20,ph,0.0425,0.0222,0.0244,0.0206,0.0224,0.0019
12,2022-07-20,od,0.015,0.0139,0.0216,0.0109,0.0155,0.0055
12,2022-07-21,ph,0.0367,0.0203,0.0185,0.0207,0.0198,0.0011
12,2022-07-21,od,0.1383,0.0127,0.032,0.0147,0.0198,0.0106
12,2022-07-22,ph,0.0175,0.0141,0.0166,0.0161,0.0156,0.0013
12,2022-07-22,od,0.1733,0.0163,0.0224,0.0097,0.0162,0.0064
12,2022-07-23,ph,0.0233,0.0252,0.0227,0.0254,0.0244,0.0015
12,2022-07-23,od,0.0325,0.0084,0.0051,0.0172,0.0103,0.0062
12,2022-07-24,ph,0.0183,0.0125,0.0129,0.0148,0.0134,0.0012
12,2022-07-24,od,0.0192,0.0076,0.0043,0.0229,0.0116,0.0099
12,2022-07-25,ph,0.0192,0.0133,0.0121,0.0126,0.0127,0.0006
12,2022-07-25,od,0.2425,0.0038,0.012,0.0137,0.0098,0.0053
12,2022-07-26,ph,0.0142,0.0064,0.007,0.0069,0.0068,0.0003
12,2022-07-26,od,0.0842,0.027,0.0375,0.0217,0.0287,0.008
12,2022-07-27,ph,0.03,0.0265,0.0255,0.0246,0.0255,0.0009
12,2022-07-27,od,0.2758,0.0099,0.0104,0.0121,0.0108,0.0012
12,2022-07-28,ph,0.4458,0.009,0.0055,0.0078,0.0074,0.0018
12,2022-07-28,od,0.2042,0.0126,0.0106,0.0209,0.0147,0.0055
12,2022-07-29,ph,0.0025,0.0075,0.0097,0.0106,0.0093,0.0016
12,2022-07-29,od,0.045,0.0119,0.0276,0.0344,0.0246,0.0115
12,2023-01-18,ph,0.0475,0.0051,0.003,0.0028,0.0036,0.0012
12,2023-01-18,od,0.03,0.0092,0.0088,0.0155,0.0111,0.0037
12,2023-01-19,ph,0.0567,0.0051,0.0057,0.0056,0.0055,0.0003
12,2023-01-19,od,0.0075,0.0123,0.0084,0.0096,0.0101,0.002
12,2023-01-20,ph,0.0342,0.0029,0.0033,0.0021,0.0027,0.0006
12,2023-01-20,od,0.0383,0.0168,0.0232,0.014,0.018,0.0047
12,2023-01-21,ph,0.0375,0.0042,0.0043,0.005,0.0045,0.0004
12,2023-01-21,od,0.015,0.0089,0.0091,0.0059,0.008,0.0018
12,2023-01-22,ph,0.0158,0.0042,0.0041,0.0066,0.005,0.0014
12,2023-01-22,od,0.0283,0.017,0.0154,0.0146,0.0157,0.0012
12,2023-01-23,ph,0.035,0.0065,0.0073,0.0069,0.0069,0.0004
12,2023-01-23,od,0.025,0.0223,0.0157,0.0097,0.0159,0.0063
12,2023-01-24,ph,0.0067,0.0052,0.0049,0.0075,0.0059,0.0014
12,2023-01-24,od,0.0592,0.0081,0.0077,0.005,0.0069,0.0017
12,2023-01-25,ph,0.0117,0.0036,0.0046,0.0043,0.0041,0.0005
12,2023-01-25,od,0.0458,0.0069,0.0066,0.0175,0.0103,0.0062
12,2023-01-26,ph,0.015,0.0058,0.0031,0.0037,0.0042,0.0014
12,2023-01-26,od,0.0117,0.0067,0.0081,0.0133,0.0094,0.0035
12,2023-01-27,ph,0.0333,0.0052,0.005,0.0047,0.005,0.0002
12,2023-01-27,od,0.01,0.0124,0.0107,0.0218,0.015,0.006
12,2024-04-19,ph,0.0342,0.0093,0.0083,0.009,0.0089,0.0005
12,2024-04-19,od,0.57,0.0216,0.0282,0.0234,0.0244,0.0034
12,2024-04-20,ph,0.0283,0.0139,0.0176,0.0141,0.0152,0.0021
12,2024-04-20,od,0.0717,0.0197,0.0188,0.0124,0.0169,0.004
12,2024-04-21,ph,0.015,0.0102,0.0092,0.0096,0.0097,0.0005
12,2024-04-21,od,0.0083,0.0268,0.005,0.0255,0.0191,0.0123
12,2024-04-22,ph,0.0125,0.0137,0.0135,0.0141,0.0138,0.0003
12,2024-04-22,od,0.0667,0.0346,0.0102,0.0231,0.0227,0.0122
12,2024-04-23,ph,0.0242,0.0115,0.0119,0.0123,0.0119,0.0004
12,2024-04-23,od,0.0267,0.0177,0.0085,0.0085,0.0116,0.0053
12,2024-04-24,ph,0.0133,0.0086,0.0084,0.0088,0.0086,0.0002
12,2024-04-24,od,0.0167,0.0141,0.0239,0.0107,0.0162,0.0068
12,2024-04-25,ph,0.0508,0.0147,0.0157,0.0149,0.0151,0.0006
12,2024-04-25,od,0.3008,0.0129,0.0109,0.0247,0.0162,0.0075
12,2024-04-26,ph,0.0225,0.0121,0.0122,0.0135,0.0126,0.0008
12,2024-04-26,od,0.1692,0.0049,0.0107,0.0072,0.0076,0.0029
12,2024-04-27,ph,0.0192,0.0164,0.0169,0.0161,0.0165,0.0004
12,2024-04-27,od,0.0658,0.0057,0.01,0.0079,0.0079,0.0022
12,2024-04-28,ph,0.0217,0.0129,0.0153,0.0181,0.0154,0.0026
