H,fatia,nome,qualitativa,variavel,modelo,seed,MAE,RMSE
12,2024-04-19->2024-04-28,abr24,False,ph,sazonal-naive-288,0,0.0282,0.0361
12,2024-04-19->2024-04-28,abr24,False,ph,patchtst-CI,42,0.013,0.0164
12,2024-04-19->2024-04-28,abr24,False,ph,patchtst-CI,7,0.0133,0.0168
12,2024-04-19->2024-04-28,abr24,False,ph,patchtst-CI,123,0.0133,0.0167
12,2024-04-19->2024-04-28,abr24,False,od,sazonal-naive-288,0,0.1186,0.1781
12,2024-04-19->2024-04-28,abr24,False,od,patchtst-CI,42,0.0207,0.0257
12,2024-04-19->2024-04-28,abr24,False,od,patchtst-CI,7,0.0183,0.023
12,2024-04-19->2024-04-28,abr24,False,od,patchtst-CI,123,0.0163,0.0206
12,2024-07-20->2024-07-29,jul24,False,ph,sazonal-naive-288,0,0.0392,0.0552
12,2024-07-20->2024-07-29,jul24,False,ph,patchtst-CI,42,0.0119,0.0166
12,2024-07-20->2024-07-29,jul24,False,ph,patchtst-CI,7,0.0122,0.0168
12,2024-07-20->2024-07-29,jul24,False,ph,patchtst-CI,123,0.012,0.0166
12,2024-07-20->2024-07-29,jul24,False,od,sazonal-naive-288,0,0.1328,0.1727
12,2024-07-20->2024-07-29,jul24,False,od,patchtst-CI,42,0.0272,0.0419
12,2024-07-20->2024-07-29,jul24,False,od,patchtst-CI,7,0.0316,0.0444
12,2024-07-20->2024-07-29,jul24,False,od,patchtst-CI,123,0.0287,0.0429
12,2024-09-15->2024-09-24,set24,False,ph,sazonal-naive-288,0,0.0691,0.0918
12,2024-09-15->2024-09-24,set24,False,ph,patchtst-CI,42,0.0417,0.0566
12,2024-09-15->2024-09-24,set24,False,ph,patchtst-CI,7,0.0419,0.0569
12,2024-09-15->2024-09-24,set24,False,ph,patchtst-CI,123,0.0415,0.0563
12,2024-09-15->2024-09-24,set24,False,od,sazonal-naive-288,0,0.1981,0.274
12,2024-09-15->2024-09-24,set24,False,od,patchtst-CI,42,0.0266,0.0358
12,2024-09-15->2024-09-24,set24,False,od,patchtst-CI,7,0.0266,0.0347
12,2024-09-15->2024-09-24,set24,False,od,patchtst-CI,123,0.0276,0.035
12,2024-11-20->2024-11-24,nov24,True,ph,sazonal-naive-288,0,0.0167,0.0226
12,2024-11-20->2024-11-24,nov24,True,ph,patchtst-CI,42,0.0113,0.0166
12,2024-11-20->2024-11-24,nov24,True,ph,patchtst-CI,7,0.0115,0.0167
12,2024-11-20->2024-11-24,nov24,True,ph,patchtst-CI,123,0.0116,0.0166
12,2024-11-20->2024-11-24,nov24,True,od,sazonal-naive-288,0,0.1074,0.1179
12,2024-11-20->2024-11-24,nov24,True,od,patchtst-CI,42,0.0239,0.0323
12,2024-11-20->2024-11-24,nov24,True,od,patchtst-CI,7,0.0246,0.0331
12,2024-11-20->2024-11-24,nov24,True,od,patchtst-CI,123,0.0262,0.0344
12,2024-12-13->2024-12-22,dez24,False,ph,sazonal-naive-288,0,0.0381,0.0521
12,2024-12-13->2024-12-22,dez24,False,ph,patchtst-CI,42,0.0142,0.0198
12,2024-12-13->2024-12-22,dez24,False,ph,patchtst-CI,7,0.0139,0.0194
12,2024-12-13->2024-12-22,dez24,False,ph,patchtst-CI,123,0.0141,0.0197
12,2024-12-13->2024-12-22,dez24,False,od,sazonal-naive-288,0,0.2546,0.3687
12,2024-12-13->2024-12-22,dez24,False,od,patchtst-CI,42,0.0392,0.053
12,2024-12-13->2024-12-22,dez24,False,od,patchtst-CI,7,0.0333,0.0466
12,2024-12-13->2024-12-22,dez24,False,od,patchtst-CI,123,0.0374,0.0497
12,2023-01-18->2023-01-27,jan23aux,False,ph,sazonal-naive-288,0,0.0288,0.034
12,2023-01-18->2023-01-27,jan23aux,False,ph,patchtst-CI,42,0.0059,0.0087
12,2023-01-18->2023-01-27,jan23aux,False,ph,patchtst-CI,7,0.0055,0.0082
12,2023-01-18->2023-01-27,jan23aux,False,ph,patchtst-CI,123,0.0056,0.0084
12,2023-01-18->2023-01-27,jan23aux,False,od,sazonal-naive-288,0,0.0701,0.107
12,2023-01-18->2023-01-27,jan23aux,False,od,patchtst-CI,42,0.0271,0.041
12,2023-01-18->2023-01-27,jan23aux,False,od,patchtst-CI,7,0.0279,0.0408
12,2023-01-18->2023-01-27,jan23aux,False,od,patchtst-CI,123,0.0256,0.0361
12,2022-07-20->2022-07-29,jul22aux,False,ph,sazonal-naive-288,0,0.0667,0.141
12,2022-07-20->2022-07-29,jul22aux,False,ph,patchtst-CI,42,0.02,0.0301
12,2022-07-20->2022-07-29,jul22aux,False,ph,patchtst-CI,7,0.0206,0.0325
12,2022-07-20->2022-07-29,jul22aux,False,ph,patchtst-CI,123,0.0204,0.0305
12,2022-07-20->2022-07-29,jul22aux,False,od,sazonal-naive-288,0,0.1387,0.1726
12,2022-07-20->2022-07-29,jul22aux,False,od,patchtst-CI,42,0.0194,0.0268
12,2022-07-20->2022-07-29,jul22aux,False,od,patchtst-CI,7,0.0197,0.027
12,2022-07-20->2022-07-29,jul22aux,False,od,patchtst-CI,123,0.0196,0.0269
72,2024-04-19->2024-04-28,abr24,False,ph,sazonal-naive-288,0,0.0282,0.0362
72,2024-04-19->2024-04-28,abr24,False,ph,patchtst-CI,42,0.0171,0.0216
72,2024-04-19->2024-04-28,abr24,False,ph,patchtst-CI,7,0.0175,0.0221
72,2024-04-19->2024-04-28,abr24,False,ph,patchtst-CI,123,0.0165,0.021
72,2024-04-19->2024-04-28,abr24,False,od,sazonal-naive-288,0,0.119,0.1782
72,2024-04-19->2024-04-28,abr24,False,od,patchtst-CI,42,0.0765,0.1009
72,2024-04-19->2024-04-28,abr24,False,od,patchtst-CI,7,0.0671,0.0906
72,2024-04-19->2024-04-28,abr24,False,od,patchtst-CI,123,0.0668,0.0862
72,2024-07-20->2024-07-29,jul24,False,ph,sazonal-naive-288,0,0.0392,0.0552
72,2024-07-20->2024-07-29,jul24,False,ph,patchtst-CI,42,0.0223,0.03
72,2024-07-20->2024-07-29,jul24,False,ph,patchtst-CI,7,0.0224,0.0302
72,2024-07-20->2024-07-29,jul24,False,ph,patchtst-CI,123,0.022,0.0309
72,2024-07-20->2024-07-29,jul24,False,od,sazonal-naive-288,0,0.1324,0.1724
72,2024-07-20->2024-07-29,jul24,False,od,patchtst-CI,42,0.0919,0.1226
72,2024-07-20->2024-07-29,jul24,False,od,patchtst-CI,7,0.0886,0.1207
72,2024-07-20->2024-07-29,jul24,False,od,patchtst-CI,123,0.0907,0.1232
72,2024-09-15->2024-09-24,set24,False,ph,sazonal-naive-288,0,0.069,0.0915
72,2024-09-15->2024-09-24,set24,False,ph,patchtst-CI,42,0.0488,0.0645
72,2024-09-15->2024-09-24,set24,False,ph,patchtst-CI,7,0.0503,0.0668
72,2024-09-15->2024-09-24,set24,False,ph,patchtst-CI,123,0.0481,0.064
72,2024-09-15->2024-09-24,set24,False,od,sazonal-naive-288,0,0.1973,0.2738
72,2024-09-15->2024-09-24,set24,False,od,patchtst-CI,42,0.1145,0.1463
72,2024-09-15->2024-09-24,set24,False,od,patchtst-CI,7,0.1125,0.1469
72,2024-09-15->2024-09-24,set24,False,od,patchtst-CI,123,0.105,0.1411
72,2024-11-20->2024-11-24,nov24,True,ph,sazonal-naive-288,0,0.0175,0.0249
72,2024-11-20->2024-11-24,nov24,True,ph,patchtst-CI,42,0.0137,0.0191
72,2024-11-20->2024-11-24,nov24,True,ph,patchtst-CI,7,0.0146,0.0202
72,2024-11-20->2024-11-24,nov24,True,ph,patchtst-CI,123,0.0136,0.0186
72,2024-11-20->2024-11-24,nov24,True,od,sazonal-naive-288,0,0.1046,0.1155
72,2024-11-20->2024-11-24,nov24,True,od,patchtst-CI,42,0.0674,0.0868
72,2024-11-20->2024-11-24,nov24,True,od,patchtst-CI,7,0.09,0.1274
72,2024-11-20->2024-11-24,nov24,True,od,patchtst-CI,123,0.0896,0.1124
72,2024-12-13->2024-12-22,dez24,False,ph,sazonal-naive-288,0,0.0377,0.0519
72,2024-12-13->2024-12-22,dez24,False,ph,patchtst-CI,42,0.0207,0.029
72,2024-12-13->2024-12-22,dez24,False,ph,patchtst-CI,7,0.0214,0.0291
72,2024-12-13->2024-12-22,dez24,False,ph,patchtst-CI,123,0.0219,0.031
72,2024-12-13->2024-12-22,dez24,False,od,sazonal-naive-288,0,0.2536,0.3678
72,2024-12-13->2024-12-22,dez24,False,od,patchtst-CI,42,0.1088,0.1576
72,2024-12-13->2024-12-22,dez24,False,od,patchtst-CI,7,0.1111,0.1719
72,2024-12-13->2024-12-22,dez24,False,od,patchtst-CI,123,0.1134,0.1677
72,2023-01-18->2023-01-27,jan23aux,False,ph,sazonal-naive-288,0,0.0288,0.0341
72,2023-01-18->2023-01-27,jan23aux,False,ph,patchtst-CI,42,0.0101,0.0136
72,2023-01-18->2023-01-27,jan23aux,False,ph,patchtst-CI,7,0.0088,0.012
72,2023-01-18->2023-01-27,jan23aux,False,ph,patchtst-CI,123,0.0113,0.0149
72,2023-01-18->2023-01-27,jan23aux,False,od,sazonal-naive-288,0,0.0704,0.107
72,2023-01-18->2023-01-27,jan23aux,False,od,patchtst-CI,42,0.0682,0.0977
72,2023-01-18->2023-01-27,jan23aux,False,od,patchtst-CI,7,0.0821,0.1123
72,2023-01-18->2023-01-27,jan23aux,False,od,patchtst-CI,123,0.0741,0.1048
72,2022-07-20->2022-07-29,jul22aux,False,ph,sazonal-naive-288,0,0.067,0.1411
72,2022-07-20->2022-07-29,jul22aux,False,ph,patchtst-CI,42,0.0352,0.0656
72,2022-07-20->2022-07-29,jul22aux,False,ph,patchtst-CI,7,0.0325,0.0619
72,2022-07-20->2022-07-29,jul22aux,False,ph,patchtst-CI,123,0.0354,0.0673
72,2022-07-20->2022-07-29,jul22aux,False,od,sazonal-naive-288,0,0.1388,0.1732
