H,data,variavel,piso_MAE,cd_MAE_s42,cd_MAE_s7,cd_MAE_s123,cd_MAE_media,cd_MAE_dp
12,2022-07-20,ph,0.0425,0.0206,0.0193,0.0194,0.0198,0.0007
12,2022-07-20,od,0.015,0.0272,0.0285,0.0102,0.022,0.0102
12,2022-07-21,ph,0.0367,0.0192,0.0212,0.0222,0.0209,0.0015
12,2022-07-21,od,0.1383,0.0437,0.043,0.0032,0.03,0.0232
12,2022-07-22,ph,0.0175,0.0158,0.0199,0.0166,0.0174,0.0022
12,2022-07-22,od,0.1733,0.029,0.0251,0.0081,0.0207,0.0111
12,2022-07-23,ph,0.0233,0.0233,0.022,0.0214,0.0222,0.001
12,2022-07-23,od,0.0325,0.0234,0.0227,0.0374,0.0278,0.0083
12,2022-07-24,ph,0.0183,0.0154,0.018,0.0144,0.0159,0.0019
12,2022-07-24,od,0.0192,0.0101,0.0157,0.0425,0.0228,0.0173
12,2022-07-25,ph,0.0192,0.0134,0.0138,0.012,0.0131,0.001
12,2022-07-25,od,0.2425,0.0118,0.0108,0.0338,0.0188,0.013
12,2022-07-26,ph,0.0142,0.0072,0.0077,0.0074,0.0074,0.0002
12,2022-07-26,od,0.0842,0.0206,0.0225,0.007,0.0167,0.0085
12,2022-07-27,ph,0.03,0.0299,0.0264,0.0264,0.0276,0.0021
12,2022-07-27,od,0.2758,0.0168,0.0259,0.0108,0.0178,0.0076
12,2022-07-28,ph,0.4458,0.0087,0.0096,0.0351,0.0178,0.015
12,2022-07-28,od,0.2042,0.0177,0.0084,0.0637,0.0299,0.0296
12,2022-07-29,ph,0.0025,0.0207,0.0198,0.0062,0.0156,0.0081
12,2022-07-29,od,0.045,0.0444,0.0505,0.0206,0.0385,0.0158
12,2023-01-18,ph,0.0475,0.0059,0.003,0.0042,0.0044,0.0014
12,2023-01-18,od,0.03,0.028,0.0101,0.0549,0.031,0.0226
12,2023-01-19,ph,0.0567,0.007,0.0053,0.0092,0.0072,0.0019
12,2023-01-19,od,0.0075,0.0231,0.0188,0.0263,0.0227,0.0038
12,2023-01-20,ph,0.0342,0.0041,0.0025,0.0026,0.0031,0.0009
12,2023-01-20,od,0.0383,0.0348,0.0356,0.0239,0.0315,0.0065
12,2023-01-21,ph,0.0375,0.0049,0.0044,0.0054,0.0049,0.0005
12,2023-01-21,od,0.015,0.0101,0.0222,0.0126,0.015,0.0064
12,2023-01-22,ph,0.0158,0.0027,0.0036,0.0036,0.0033,0.0005
12,2023-01-22,od,0.0283,0.0107,0.0376,0.0297,0.026,0.0139
12,2023-01-23,ph,0.035,0.014,0.013,0.0111,0.0127,0.0015
12,2023-01-23,od,0.025,0.0168,0.0125,0.0128,0.014,0.0024
12,2023-01-24,ph,0.0067,0.0047,0.0053,0.0072,0.0057,0.0013
12,2023-01-24,od,0.0592,0.0057,0.0066,0.0064,0.0062,0.0005
12,2023-01-25,ph,0.0117,0.0056,0.0086,0.0093,0.0078,0.002
12,2023-01-25,od,0.0458,0.0079,0.0058,0.0061,0.0066,0.0011
12,2023-01-26,ph,0.015,0.0031,0.0042,0.0018,0.003,0.0012
12,2023-01-26,od,0.0117,0.0059,0.0057,0.0172,0.0096,0.0066
12,2023-01-27,ph,0.0333,0.0065,0.0069,0.0044,0.0059,0.0013
12,2023-01-27,od,0.01,0.015,0.0129,0.0167,0.0149,0.0019
12,2024-04-19,ph,0.0342,0.0082,0.009,0.0063,0.0078,0.0014
12,2024-04-19,od,0.57,0.0096,0.0158,0.0401,0.0218,0.0161
12,2024-04-20,ph,0.0283,0.0092,0.0098,0.0114,0.0101,0.0012
12,2024-04-20,od,0.0717,0.0323,0.0397,0.0057,0.0259,0.0179
12,2024-04-21,ph,0.015,0.0107,0.0117,0.0116,0.0113,0.0005
12,2024-04-21,od,0.0083,0.0261,0.0353,0.0302,0.0305,0.0046
12,2024-04-22,ph,0.0125,0.0116,0.012,0.0114,0.0117,0.0003
12,2024-04-22,od,0.0667,0.0299,0.0167,0.0228,0.0232,0.0066
12,2024-04-23,ph,0.0242,0.0126,0.0123,0.0121,0.0124,0.0003
12,2024-04-23,od,0.0267,0.0385,0.0328,0.0078,0.0264,0.0163
12,2024-04-24,ph,0.0133,0.0093,0.0092,0.0094,0.0093,0.0001
12,2024-04-24,od,0.0167,0.042,0.0473,0.0109,0.0334,0.0196
12,2024-04-25,ph,0.0508,0.0141,0.0153,0.0144,0.0146,0.0007
12,2024-04-25,od,0.3008,0.0239,0.0184,0.0231,0.0218,0.003
12,2024-04-26,ph,0.0225,0.0107,0.0126,0.0114,0.0116,0.0009
12,2024-04-26,od,0.1692,0.0111,0.0066,0.0174,0.0117,0.0054
12,2024-04-27,ph,0.0192,0.0131,0.0139,0.0153,0.0141,0.0011
12,2024-04-27,od,0.0658,0.0058,0.005,0.0202,0.0103,0.0086
12,2024-04-28,ph,0.0217,0.0131,0.0146,0.0161,0.0146,0.0015
12,2024-04-28,od,0.0058,0.0157,0.0109,0.0079,0.0115,0.004
12,2024-07-20,ph,0.0583,0.0099,0.0078,0.0104,0.0094,0.0014
12,2024-07-20,od,0.5925,0.0214,0.0312,0.0166,0.0231,0.0074
