H,fatia,nome,qualitativa,variavel,modelo,seed,MAE,RMSE
12,2024-04-19->2024-04-28,abr24,False,ph,sazonal-naive-288,0,0.0282,0.0361
12,2024-04-19->2024-04-28,abr24,False,ph,cd,42,0.0129,0.0163
12,2024-04-19->2024-04-28,abr24,False,ph,cd,7,0.0126,0.0159
12,2024-04-19->2024-04-28,abr24,False,ph,cd,123,0.0128,0.0161
12,2024-04-19->2024-04-28,abr24,False,od,sazonal-naive-288,0,0.1186,0.1781
12,2024-04-19->2024-04-28,abr24,False,od,cd,42,0.0171,0.0216
12,2024-04-19->2024-04-28,abr24,False,od,cd,7,0.0201,0.0246
12,2024-04-19->2024-04-28,abr24,False,od,cd,123,0.0184,0.0232
12,2024-07-20->2024-07-29,jul24,False,ph,sazonal-naive-288,0,0.0392,0.0552
12,2024-07-20->2024-07-29,jul24,False,ph,cd,42,0.0126,0.0177
12,2024-07-20->2024-07-29,jul24,False,ph,cd,7,0.0123,0.0171
12,2024-07-20->2024-07-29,jul24,False,ph,cd,123,0.0126,0.0173
12,2024-07-20->2024-07-29,jul24,False,od,sazonal-naive-288,0,0.1328,0.1727
12,2024-07-20->2024-07-29,jul24,False,od,cd,42,0.0282,0.0409
12,2024-07-20->2024-07-29,jul24,False,od,cd,7,0.0313,0.0436
12,2024-07-20->2024-07-29,jul24,False,od,cd,123,0.03,0.0433
12,2024-09-15->2024-09-24,set24,False,ph,sazonal-naive-288,0,0.0691,0.0918
12,2024-09-15->2024-09-24,set24,False,ph,cd,42,0.0399,0.054
12,2024-09-15->2024-09-24,set24,False,ph,cd,7,0.0402,0.054
12,2024-09-15->2024-09-24,set24,False,ph,cd,123,0.0403,0.0544
12,2024-09-15->2024-09-24,set24,False,od,sazonal-naive-288,0,0.1981,0.274
12,2024-09-15->2024-09-24,set24,False,od,cd,42,0.0297,0.0371
12,2024-09-15->2024-09-24,set24,False,od,cd,7,0.0322,0.0415
12,2024-09-15->2024-09-24,set24,False,od,cd,123,0.0295,0.0402
12,2024-11-20->2024-11-24,nov24,True,ph,sazonal-naive-288,0,0.0167,0.0226
12,2024-11-20->2024-11-24,nov24,True,ph,cd,42,0.011,0.0162
12,2024-11-20->2024-11-24,nov24,True,ph,cd,7,0.0112,0.0168
12,2024-11-20->2024-11-24,nov24,True,ph,cd,123,0.011,0.0163
12,2024-11-20->2024-11-24,nov24,True,od,sazonal-naive-288,0,0.1074,0.1179
12,2024-11-20->2024-11-24,nov24,True,od,cd,42,0.0267,0.0356
