fatia,modelo,MAE,RMSE,MAPE,sMAPE
2024-04-19→2024-04-28,persistencia,0.0287,0.0367,0.5001,0.4999
2024-04-19→2024-04-28,sazonal_naive_288,0.0282,0.0361,0.4896,0.4897
2024-04-19→2024-04-28,media_movel_288,0.0267,0.0337,0.4648,0.4647
2024-04-19→2024-04-28,arima_212_h,0.0273,0.0345,0.4756,0.4754
2024-04-19→2024-04-28,prophet,0.0937,0.1006,1.6299,1.6453
2024-07-20→2024-07-29,persistencia,0.0434,0.0565,0.7224,0.7211
2024-07-20→2024-07-29,sazonal_naive_288,0.0391,0.0552,0.6503,0.6485
2024-07-20→2024-07-29,media_movel_288,0.0392,0.051,0.6524,0.6508
2024-07-20→2024-07-29,arima_212_h,0.0419,0.0541,0.6972,0.6962
2024-07-20→2024-07-29,prophet,0.1032,0.1139,1.709,1.7269
2024-09-15→2024-09-24,persistencia,0.0983,0.1271,1.7865,1.786
2024-09-15→2024-09-24,sazonal_naive_288,0.0693,0.0919,1.258,1.2579
2024-09-15→2024-09-24,media_movel_288,0.0768,0.0959,1.3937,1.3958
2024-09-15→2024-09-24,arima_212_h,0.1016,0.1314,1.8454,1.844
2024-09-15→2024-09-24,prophet,0.2912,0.3196,5.331,5.1649
2024-11-20→2024-11-24,persistencia,0.0536,0.0667,0.8272,0.8275
2024-11-20→2024-11-24,sazonal_naive_288,0.0215,0.0288,0.3317,0.332
2024-11-20→2024-11-24,media_movel_288,0.0421,0.0491,0.6485,0.6492
2024-11-20→2024-11-24,arima_212_h,0.0542,0.0669,0.8359,0.8362
2024-11-20→2024-11-24,prophet,0.2467,0.2497,3.8065,3.882
2024-12-13→2024-12-22,persistencia,0.0721,0.0894,1.1803,1.1787
2024-12-13→2024-12-22,sazonal_naive_288,0.0354,0.0488,0.5815,0.5797
2024-12-13→2024-12-22,media_movel_288,0.0598,0.0707,0.9801,0.9783
2024-12-13→2024-12-22,arima_212_h,0.0729,0.091,1.1946,1.1925
2024-12-13→2024-12-22,prophet,0.0468,0.0591,0.7635,0.7658
