fatia,seed,MAE,RMSE,MAPE,sMAPE
2024-04-19→2024-04-28,42,0.0235,0.03,0.4091,0.4092
2024-04-19→2024-04-28,7,0.0233,0.0298,0.4054,0.4056
2024-04-19→2024-04-28,123,0.0239,0.0304,0.4151,0.4152
2024-04-19→2024-04-28,2024,0.0238,0.0304,0.4145,0.4145
2024-04-19→2024-04-28,999,0.0238,0.0302,0.4141,0.4142
2024-07-20→2024-07-29,42,0.0338,0.0472,0.5607,0.56
2024-07-20→2024-07-29,7,0.0334,0.0468,0.5555,0.5547
2024-07-20→2024-07-29,123,0.034,0.0472,0.5642,0.5637
2024-07-20→2024-07-29,2024,0.0338,0.0473,0.5614,0.5609
2024-07-20→2024-07-29,999,0.0339,0.0472,0.5628,0.5622
2024-09-15→2024-09-24,42,0.0598,0.0769,1.0851,1.0859
2024-09-15→2024-09-24,7,0.0596,0.0764,1.0828,1.0828
2024-09-15→2024-09-24,123,0.0605,0.0778,1.0992,1.0995
2024-09-15→2024-09-24,2024,0.0604,0.0777,1.0981,1.0982
2024-09-15→2024-09-24,999,0.06,0.0778,1.0897,1.0912
2024-11-20→2024-11-24,42,0.0224,0.0293,0.3454,0.3458
2024-11-20→2024-11-24,7,0.0238,0.0314,0.3664,0.3672
2024-11-20→2024-11-24,123,0.0228,0.0297,0.352,0.3524
2024-11-20→2024-11-24,2024,0.0229,0.0297,0.3522,0.3525
2024-11-20→2024-11-24,999,0.0236,0.0306,0.363,0.3635
2024-12-13→2024-12-22,42,0.0338,0.0433,0.5536,0.5533
2024-12-13→2024-12-22,7,0.0381,0.0477,0.6219,0.6231
2024-12-13→2024-12-22,123,0.0346,0.044,0.5674,0.5673
2024-12-13→2024-12-22,2024,0.0347,0.044,0.5682,0.5678
2024-12-13→2024-12-22,999,0.0357,0.0451,0.5841,0.5839
