fatia,modelo,seed,MAE,RMSE,MAPE,sMAPE
2024-04-19→2024-04-28,patchtst,42,0.0246,0.0316,0.4281,0.4284
2024-07-20→2024-07-29,patchtst,42,0.0347,0.0465,0.5756,0.5754
2024-09-15→2024-09-24,patchtst,42,0.0572,0.0755,1.037,1.0395
2024-11-20→2024-11-24,patchtst,42,0.0225,0.0287,0.3466,0.3472
2024-12-13→2024-12-22,patchtst,42,0.0331,0.0423,0.543,0.5431
2024-04-19→2024-04-28,patchtst,7,0.0241,0.0308,0.4192,0.4191
2024-07-20→2024-07-29,patchtst,7,0.034,0.0461,0.5659,0.5649
2024-09-15→2024-09-24,patchtst,7,0.0585,0.0758,1.0624,1.0624
2024-11-20→2024-11-24,patchtst,7,0.0212,0.0268,0.3275,0.3277
2024-12-13→2024-12-22,patchtst,7,0.0303,0.04,0.4971,0.496
2024-04-19→2024-04-28,patchtst,123,0.0239,0.03,0.416,0.416
2024-07-20→2024-07-29,patchtst,123,0.0348,0.0459,0.5791,0.5783
2024-09-15→2024-09-24,patchtst,123,0.0566,0.0744,1.0276,1.0295
2024-11-20→2024-11-24,patchtst,123,0.0218,0.0279,0.3351,0.3356
2024-12-13→2024-12-22,patchtst,123,0.0318,0.0412,0.5223,0.5217
2024-04-19→2024-04-28,patchtst,2024,0.0244,0.0311,0.4236,0.4236
2024-07-20→2024-07-29,patchtst,2024,0.0346,0.047,0.5749,0.5741
2024-09-15→2024-09-24,patchtst,2024,0.0573,0.0747,1.0417,1.0422
2024-11-20→2024-11-24,patchtst,2024,0.0202,0.0259,0.311,0.3113
2024-12-13→2024-12-22,patchtst,2024,0.0307,0.0412,0.5043,0.5032
2024-04-19→2024-04-28,patchtst,999,0.0237,0.0305,0.4123,0.4127
2024-07-20→2024-07-29,patchtst,999,0.0341,0.0456,0.5673,0.5669
2024-09-15→2024-09-24,patchtst,999,0.0577,0.0762,1.0468,1.05
2024-11-20→2024-11-24,patchtst,999,0.022,0.0282,0.3394,0.34
2024-12-13→2024-12-22,patchtst,999,0.0322,0.0415,0.5278,0.5276
2024-04-19→2024-04-28,dlinear,42,0.0236,0.0304,0.411,0.411
2024-07-20→2024-07-29,dlinear,42,0.035,0.0479,0.581,0.5798
2024-09-15→2024-09-24,dlinear,42,0.0594,0.0766,1.0781,1.0795
2024-11-20→2024-11-24,dlinear,42,0.0216,0.0276,0.3338,0.334
2024-12-13→2024-12-22,dlinear,42,0.031,0.0416,0.5094,0.5083
2024-04-19→2024-04-28,dlinear,7,0.0236,0.0304,0.4108,0.4108
2024-07-20→2024-07-29,dlinear,7,0.0347,0.0476,0.5763,0.5752
2024-09-15→2024-09-24,dlinear,7,0.0601,0.0774,1.091,1.0924
2024-11-20→2024-11-24,dlinear,7,0.0221,0.0282,0.3415,0.3418
2024-12-13→2024-12-22,dlinear,7,0.0315,0.0419,0.5183,0.5172
2024-04-19→2024-04-28,dlinear,123,0.0236,0.0304,0.4111,0.4112
2024-07-20→2024-07-29,dlinear,123,0.0348,0.0478,0.5783,0.5772
2024-09-15→2024-09-24,dlinear,123,0.0597,0.0769,1.0838,1.0854
2024-11-20→2024-11-24,dlinear,123,0.0217,0.0278,0.3349,0.3352
2024-12-13→2024-12-22,dlinear,123,0.0308,0.0414,0.5056,0.5045
2024-04-19→2024-04-28,dlinear,2024,0.0238,0.0308,0.4133,0.4134
2024-07-20→2024-07-29,dlinear,2024,0.0345,0.0478,0.5729,0.5718
2024-09-15→2024-09-24,dlinear,2024,0.0598,0.0771,1.0864,1.0877
2024-11-20→2024-11-24,dlinear,2024,0.0218,0.0279,0.3361,0.3363
2024-12-13→2024-12-22,dlinear,2024,0.0308,0.0414,0.5057,0.5045
2024-04-19→2024-04-28,dlinear,999,0.0237,0.0304,0.4123,0.4124
2024-07-20→2024-07-29,dlinear,999,0.035,0.0481,0.582,0.5809
2024-09-15→2024-09-24,dlinear,999,0.0594,0.0766,1.0781,1.0795
2024-11-20→2024-11-24,dlinear,999,0.0213,0.0272,0.3284,0.3287
2024-12-13→2024-12-22,dlinear,999,0.0308,0.0416,0.5069,0.5058
