fatia,modelo,MAE,RMSE,MAPE,sMAPE
2024-04-19→2024-04-28,dlinear,0.0237±0.0001,0.0305±0.0002,0.4117±0.0011,0.4118±0.0011
2024-04-19→2024-04-28,patchtst,0.0241±0.0004,0.0308±0.0006,0.4198±0.0062,0.42±0.0062
2024-07-20→2024-07-29,dlinear,0.0348±0.0002,0.0478±0.0002,0.5781±0.0037,0.577±0.0037
2024-07-20→2024-07-29,patchtst,0.0344±0.0004,0.0462±0.0005,0.5726±0.0057,0.5719±0.0057
2024-09-15→2024-09-24,dlinear,0.0597±0.0003,0.0769±0.0003,1.0835±0.0055,1.0849±0.0055
2024-09-15→2024-09-24,patchtst,0.0575±0.0007,0.0753±0.0008,1.0431±0.0129,1.0447±0.0123
2024-11-20→2024-11-24,dlinear,0.0217±0.0003,0.0277±0.0004,0.3349±0.0047,0.3352±0.0047
2024-11-20→2024-11-24,patchtst,0.0215±0.0009,0.0275±0.0011,0.3319±0.0136,0.3324±0.0137
2024-12-13→2024-12-22,dlinear,0.031±0.0003,0.0416±0.0002,0.5092±0.0053,0.5081±0.0053
2024-12-13→2024-12-22,patchtst,0.0316±0.0011,0.0412±0.0008,0.5189±0.0184,0.5183±0.019
