fatia,modelo,seed,MAE,RMSE,MAPE,sMAPE
2024-04-19→2024-04-28,patchtst,42,0.1046,0.1381,3.3408,3.37
2024-04-19→2024-04-28,patchtst,7,0.102,0.1397,3.2658,3.3052
2024-04-19→2024-04-28,patchtst,123,0.1057,0.1433,3.3657,3.425
2024-04-19→2024-04-28,patchtst,2024,0.1006,0.1336,3.2111,3.2532
2024-04-19→2024-04-28,patchtst,999,0.0977,0.1321,3.1079,3.1625
2024-04-19→2024-04-28,dlinear,42,0.1041,0.1415,3.3266,3.3828
2024-04-19→2024-04-28,dlinear,7,0.0991,0.1402,3.1771,3.2221
2024-04-19→2024-04-28,dlinear,123,0.0958,0.1358,3.0761,3.1162
2024-04-19→2024-04-28,dlinear,2024,0.1008,0.1411,3.2358,3.2741
2024-04-19→2024-04-28,dlinear,999,0.1029,0.1454,3.3028,3.3426
2024-07-20→2024-07-29,patchtst,42,0.1132,0.1448,1.8148,1.8261
2024-07-20→2024-07-29,patchtst,7,0.1088,0.1412,1.7445,1.7526
2024-07-20→2024-07-29,patchtst,123,0.1334,0.1718,2.1303,2.1614
2024-07-20→2024-07-29,patchtst,2024,0.151,0.1918,2.408,2.4511
2024-07-20→2024-07-29,patchtst,999,0.1138,0.1472,1.8205,1.8384
2024-07-20→2024-07-29,dlinear,42,0.1242,0.161,1.9849,2.0064
2024-07-20→2024-07-29,dlinear,7,0.114,0.1487,1.8242,1.8376
2024-07-20→2024-07-29,dlinear,123,0.1136,0.1481,1.8166,1.8305
2024-07-20→2024-07-29,dlinear,2024,0.1135,0.148,1.8166,1.8276
2024-07-20→2024-07-29,dlinear,999,0.1123,0.145,1.7965,1.8087
2024-09-15→2024-09-24,patchtst,42,0.1887,0.2401,2.9417,2.93
2024-09-15→2024-09-24,patchtst,7,0.1858,0.2399,2.8906,2.8976
2024-09-15→2024-09-24,patchtst,123,0.181,0.2331,2.8237,2.8095
2024-09-15→2024-09-24,patchtst,2024,0.1735,0.2348,2.7133,2.6864
2024-09-15→2024-09-24,patchtst,999,0.1734,0.2315,2.7112,2.6876
2024-09-15→2024-09-24,dlinear,42,0.1806,0.2373,2.799,2.8036
2024-09-15→2024-09-24,dlinear,7,0.1843,0.2402,2.8562,2.861
2024-09-15→2024-09-24,dlinear,123,0.1796,0.2384,2.7879,2.793
2024-09-15→2024-09-24,dlinear,2024,0.1813,0.2357,2.8125,2.8134
2024-09-15→2024-09-24,dlinear,999,0.1841,0.24,2.8535,2.8559
2024-11-20→2024-11-24,patchtst,42,0.1595,0.2129,2.6524,2.6896
2024-11-20→2024-11-24,patchtst,7,0.1685,0.2155,2.828,2.8802
2024-11-20→2024-11-24,patchtst,123,0.1567,0.2028,2.5751,2.6201
2024-11-20→2024-11-24,patchtst,2024,0.181,0.2317,2.9292,2.9937
2024-11-20→2024-11-24,patchtst,999,0.192,0.24,3.1712,3.2463
2024-11-20→2024-11-24,dlinear,42,0.159,0.2217,2.5912,2.635
2024-11-20→2024-11-24,dlinear,7,0.1577,0.2167,2.5802,2.6174
2024-11-20→2024-11-24,dlinear,123,0.1544,0.2075,2.5662,2.6005
2024-11-20→2024-11-24,dlinear,2024,0.1594,0.215,2.6213,2.6522
2024-11-20→2024-11-24,dlinear,999,0.155,0.2103,2.5655,2.5978
2024-12-13→2024-12-22,patchtst,42,0.2174,0.2942,4.0701,3.9678
2024-12-13→2024-12-22,patchtst,7,0.2041,0.2821,3.8079,3.732
2024-12-13→2024-12-22,patchtst,123,0.2114,0.2858,3.9624,3.8705
2024-12-13→2024-12-22,patchtst,2024,0.1976,0.2704,3.6647,3.5951
2024-12-13→2024-12-22,patchtst,999,0.2082,0.2719,3.8683,3.821
2024-12-13→2024-12-22,dlinear,42,0.1956,0.2759,3.6546,3.5695
2024-12-13→2024-12-22,dlinear,7,0.1952,0.2752,3.6514,3.5616
2024-12-13→2024-12-22,dlinear,123,0.184,0.2659,3.4412,3.3642
2024-12-13→2024-12-22,dlinear,2024,0.1878,0.2692,3.5192,3.4293
2024-12-13→2024-12-22,dlinear,999,0.1898,0.2755,3.5532,3.4661
