fatia,modelo,MAE,RMSE,MAPE,sMAPE
2024-04-19→2024-04-28,dlinear,0.1005±0.0033,0.1408±0.0034,3.2237±0.1012,3.2676±0.1048
2024-04-19→2024-04-28,patchtst,0.1021±0.0032,0.1374±0.0046,3.2583±0.104,3.3032±0.102
2024-07-20→2024-07-29,dlinear,0.1155±0.0049,0.1502±0.0062,1.8478±0.0773,1.8622±0.0813
2024-07-20→2024-07-29,patchtst,0.124±0.0178,0.1594±0.0218,1.9836±0.2801,2.0059±0.2945
2024-09-15→2024-09-24,dlinear,0.182±0.0021,0.2383±0.0019,2.8218±0.0314,2.8254±0.0311
2024-09-15→2024-09-24,patchtst,0.1805±0.007,0.2359±0.0039,2.8161±0.1036,2.8022±0.1141
2024-11-20→2024-11-24,dlinear,0.1571±0.0023,0.2142±0.0056,2.5849±0.023,2.6206±0.0231
2024-11-20→2024-11-24,patchtst,0.1715±0.0149,0.2206±0.015,2.8312±0.236,2.886±0.2504
2024-12-13→2024-12-22,dlinear,0.1905±0.005,0.2723±0.0045,3.5639±0.0909,3.4781±0.0878
2024-12-13→2024-12-22,patchtst,0.2077±0.0075,0.2809±0.0099,3.8747±0.1537,3.7973±0.1415
