,fatia,zona,sazonal,lstnet,lgbm,dlres,ens
2024-04-19,2024-04-19→2024-04-28,fit,0.02621533115704847,0.02135952379968426,0.029987294077873167,0.023186023632685276,0.021907678312725425
2024-04-20,2024-04-19→2024-04-28,fit,0.06225697000821425,0.040497514340612564,0.062453309165106816,0.044978152049912276,0.0461776947975158
2024-04-21,2024-04-19→2024-04-28,fit,0.022569494313663938,0.017738387915823207,0.02216432955529957,0.017058537668652035,0.01672502140204114
2024-04-22,2024-04-19→2024-04-28,fit,0.023749974370002695,0.01996171997653109,0.02636740585168199,0.01812473992506658,0.02069849133491512
2024-04-23,2024-04-19→2024-04-28,fit,0.03274314363797512,0.021442849371168374,0.026121940347883423,0.024037967456711704,0.02067358871301018
2024-04-24,2024-04-19→2024-04-28,fit,0.024027833938598583,0.02096254640155363,0.025319682823287056,0.017873994244469463,0.01934627943568752
2024-04-25,2024-04-19→2024-04-28,fit,0.025520887639787423,0.024666369160016317,0.025512660013304767,0.034034796555836896,0.023739151623513897
2024-04-26,2024-04-19→2024-04-28,fit,0.026319405436515772,0.016399488515324027,0.03378005597326487,0.015240745809343072,0.01576486494806074
2024-04-27,2024-04-19→2024-04-28,fit,0.017951398624314184,0.013489863077799428,0.022385367155075067,0.017306924661000568,0.013436607917149837
2024-04-28,2024-04-19→2024-04-28,fit,0.020659679836696965,0.02524480952156908,0.027202224135398814,0.02181734601656589,0.02229155249065816
2024-07-20,2024-07-20→2024-07-29,fit,0.0223958503537708,0.019283381766743143,0.025107905268669153,0.017599236832724716,0.018457691537009397
2024-07-21,2024-07-20→2024-07-29,fit,0.039201321668095056,0.023009470502535545,0.034078278607792334,0.018670236335860388,0.02220323701699583
2024-07-22,2024-07-20→2024-07-29,fit,0.07333331949181021,0.06377002629968853,0.061948873202006004,0.06303008159001666,0.06340654691060382
2024-07-23,2024-07-20→2024-07-29,fit,0.09506940868165753,0.045943931870990246,0.0787745085689756,0.039358070294062214,0.04888327485985217
2024-07-24,2024-07-20→2024-07-29,fit,0.018125038146972642,0.025037524037890987,0.018441080715921182,0.04003931608464987,0.0225744089153078
2024-07-25,2024-07-20→2024-07-29,fit,0.021284805734952273,0.01640332380930581,0.015464784436755693,0.016034849815898457,0.015360469222068768
2024-07-26,2024-07-20→2024-07-29,fit,0.03381945245795775,0.013959879808955654,0.022894547250535725,0.020008748107486252,0.01430880063109918
2024-07-27,2024-07-20→2024-07-29,fit,0.030277783539560073,0.021201666328642045,0.025972567730479713,0.027452937695715118,0.021339313387870727
2024-07-28,2024-07-20→2024-07-29,fit,0.03677084346612294,0.029094459215799895,0.02410673658053083,0.0453993509875403,0.02783468882242832
2024-07-29,2024-07-20→2024-07-29,fit,0.022256911595662402,0.014167361259460415,0.02331701291931999,0.015798580050468428,0.013618119756380699
2024-09-15,2024-09-15→2024-09-24,fit,0.08629251144108945,0.07585419966114887,0.09486629484759432,0.07973355712714011,0.07562353134155267
2024-09-16,2024-09-15→2024-09-24,fit,0.05754068581137076,0.037289008955476134,0.07554505473343781,0.04701429689687399,0.035561970847624316
2024-09-17,2024-09-15→2024-09-24,fit,0.0737387859127509,0.06499408586000009,0.060738123809849776,0.06635827939030986,0.06240271660701308
2024-09-18,2024-09-15→2024-09-24,fit,0.06868981786127443,0.0655306811376854,0.05810456884348831,0.0683105367377952,0.058413691136572056
2024-09-19,2024-09-15→2024-09-24,fit,0.06934176871196301,0.07852449157502914,0.09008404282287313,0.061378878637596404,0.07399873016940221
2024-09-20,2024-09-15→2024-09-24,fit,0.06137111233300231,0.06488847362995145,0.0883203016286747,0.05690799041589097,0.06304910760455658
2024-09-21,2024-09-15→2024-09-24,fit,0.06445432262866374,0.05757949069189647,0.08702445480369386,0.0584101659816409,0.05866190385881556
2024-09-22,2024-09-15→2024-09-24,fit,0.0926962616172417,0.07271639460924441,0.09579747624687415,0.06788859176341397,0.07299294133034963
2024-09-23,2024-09-15→2024-09-24,fit,0.06465359504600782,0.08145697273861652,0.08186922178275229,0.07870449017493476,0.0755791432134107
2024-09-24,2024-09-15→2024-09-24,fit,0.05303413197918546,0.051523038366484294,0.06996074118689886,0.044810942693362193,0.04808090827767814
2024-11-20,2024-11-20→2024-11-24,fit,0.01563890994919671,0.015032992892795135,0.01681436170913557,0.019164580239189974,0.01341854916678535
2024-11-21,2024-11-20→2024-11-24,fit,0.02071297148863474,0.019930352767308524,0.02319024456871883,0.02508291257752311,0.01701026995976765
2024-11-22,2024-11-20→2024-11-24,fit,0.019151640821386238,0.018905836542447423,0.030905846048284454,0.017201150567443275,0.014811813588495617
2024-11-23,2024-11-20→2024-11-24,fit,0.027116905962979297,0.024816229104995688,0.04767871154679195,0.023863799969355223,0.024055735203954865
2024-11-24,2024-11-20→2024-11-24,fit,0.02394678336602671,0.016011669039726187,0.0556062065230476,0.021595627753822826,0.012826204366154078
2024-12-13,2024-12-13→2024-12-22,report,0.027534738116794178,0.039000021086798835,0.025272289050949973,0.026845312052302985,0.03339375760820183
2024-12-14,2024-12-13→2024-12-22,report,0.019305545488993325,0.026319262981414824,0.020669794413778537,0.022180633677376684,0.020706046952141684
2024-12-15,2024-12-13→2024-12-22,report,0.042534691095352156,0.042696233590443895,0.03347895582516988,0.048465413318739964,0.04371999488936526
2024-12-16,2024-12-13→2024-12-22,report,0.031111099852455994,0.02892480722180118,0.0242490426037047,0.0301191461086273,0.023419402639071135
2024-12-17,2024-12-13→2024-12-22,report,0.0249132090806961,0.02589910262160834,0.03161569886737402,0.027103934354252304,0.026624954210387384
2024-12-18,2024-12-13→2024-12-22,report,0.019201404982142994,0.022970947557025514,0.026390362713072078,0.01573707944817017,0.02028456118371755
2024-12-19,2024-12-13→2024-12-22,report,0.02418402764532301,0.027712359362178376,0.021761839058664145,0.02260491828123729,0.02312718841764662
2024-12-20,2024-12-13→2024-12-22,report,0.03427084962526959,0.040798016124301534,0.030611787041028366,0.039969369835323794,0.03725957049263852
2024-12-21,2024-12-13→2024-12-22,report,0.0768055550257365,0.06422268927097324,0.06916592346297369,0.059881083567937234,0.06214045776261226
2024-12-22,2024-12-13→2024-12-22,report,0.0811111536953184,0.04543555703428053,0.07335195448663497,0.029445679717593723,0.04565472397539348
