fatia,zona,modelo,MAE,RMSE,MAPE,sMAPE
2024-04-19→2024-04-28,fit,sazonal,0.0282,0.0361,0.4896,0.4897
2024-04-19→2024-04-28,fit,lstnet,0.0229,0.0293,0.3986,0.3988
2024-04-19→2024-04-28,fit,lgbm,0.0283,0.0363,0.4929,0.4932
2024-04-19→2024-04-28,fit,dlres,0.0236,0.0303,0.4101,0.4102
2024-04-19→2024-04-28,fit,ens,0.0224,0.029,0.3904,0.3906
2024-07-20→2024-07-29,fit,sazonal,0.0391,0.0552,0.6503,0.6485
2024-07-20→2024-07-29,fit,lstnet,0.0332,0.0465,0.551,0.5504
2024-07-20→2024-07-29,fit,lgbm,0.0354,0.0487,0.5867,0.5865
2024-07-20→2024-07-29,fit,dlres,0.0349,0.0479,0.5805,0.5793
2024-07-20→2024-07-29,fit,ens,0.0324,0.0456,0.5377,0.5372
2024-09-15→2024-09-24,fit,sazonal,0.0693,0.0919,1.258,1.2579
2024-09-15→2024-09-24,fit,lstnet,0.0568,0.0734,1.0318,1.0325
2024-09-15→2024-09-24,fit,lgbm,0.0788,0.1005,1.4358,1.426
2024-09-15→2024-09-24,fit,dlres,0.0586,0.0759,1.0634,1.0647
2024-09-15→2024-09-24,fit,ens,0.0558,0.0723,1.0138,1.0142
2024-11-20→2024-11-24,fit,sazonal,0.0215,0.0288,0.3317,0.332
2024-11-20→2024-11-24,fit,lstnet,0.0218,0.0287,0.3352,0.3357
2024-11-20→2024-11-24,fit,lgbm,0.0325,0.043,0.5014,0.5034
2024-11-20→2024-11-24,fit,dlres,0.0228,0.029,0.352,0.3522
2024-11-20→2024-11-24,fit,ens,0.021,0.0283,0.3239,0.3245
2024-12-13→2024-12-22,report,sazonal,0.0354,0.0488,0.5815,0.5797
2024-12-13→2024-12-22,report,lstnet,0.0345,0.0436,0.5643,0.5643
2024-12-13→2024-12-22,report,lgbm,0.0354,0.0486,0.5806,0.5797
2024-12-13→2024-12-22,report,dlres,0.0302,0.0407,0.497,0.4959
2024-12-13→2024-12-22,report,ens,0.0324,0.0417,0.5305,0.5304
