fatia,modelo,MAE,RMSE,MAPE,sMAPE
2024-04-19→2024-04-28,persistencia,0.1536,0.2046,4.8699,4.8847
2024-04-19→2024-04-28,sazonal_naive_288,0.124,0.1822,4.0071,4.0897
2024-04-19→2024-04-28,media_movel_288,0.1615,0.2084,5.1447,5.2271
2024-04-19→2024-04-28,arima_212_h,0.1552,0.2054,4.9188,4.9394
2024-04-19→2024-04-28,prophet,0.3861,0.4261,12.2674,13.2439
2024-07-20→2024-07-29,persistencia,0.1429,0.1893,2.2896,2.2959
2024-07-20→2024-07-29,sazonal_naive_288,0.1316,0.172,2.1052,2.1246
2024-07-20→2024-07-29,media_movel_288,0.1381,0.1672,2.2167,2.2259
2024-07-20→2024-07-29,arima_212_h,0.1384,0.1826,2.219,2.2235
2024-07-20→2024-07-29,prophet,0.4848,0.5468,7.6994,8.0892
2024-09-15→2024-09-24,persistencia,0.5584,0.7033,8.6365,8.565
2024-09-15→2024-09-24,sazonal_naive_288,0.1969,0.2737,3.0157,3.02
2024-09-15→2024-09-24,media_movel_288,0.4498,0.5258,6.9544,6.9293
2024-09-15→2024-09-24,arima_212_h,0.5595,0.7039,8.6523,8.5814
2024-09-15→2024-09-24,prophet,0.3018,0.3537,4.6701,4.6484
2024-11-20→2024-11-24,persistencia,0.6852,0.8467,11.5248,11.5112
2024-11-20→2024-11-24,sazonal_naive_288,0.1579,0.2181,2.5923,2.6368
2024-11-20→2024-11-24,media_movel_288,0.5478,0.6203,9.137,9.2062
2024-11-20→2024-11-24,arima_212_h,0.6828,0.8431,11.506,11.4915
2024-11-20→2024-11-24,prophet,0.6292,0.7653,9.9706,10.7204
2024-12-13→2024-12-22,persistencia,0.7283,0.9009,13.1756,12.8491
2024-12-13→2024-12-22,sazonal_naive_288,0.2499,0.3616,4.717,4.5526
2024-12-13→2024-12-22,media_movel_288,0.6106,0.7049,11.218,10.8917
2024-12-13→2024-12-22,arima_212_h,0.7324,0.9065,13.2219,12.8936
2024-12-13→2024-12-22,prophet,0.8723,1.0009,14.7057,16.1306
