fatia,seed,MAE,RMSE,MAPE,sMAPE
2024-04-19→2024-04-28,42,0.1124,0.1511,3.6548,3.6517
2024-04-19→2024-04-28,7,0.1111,0.1488,3.6112,3.6143
2024-04-19→2024-04-28,123,0.1189,0.1599,3.8225,3.8989
2024-04-19→2024-04-28,2024,0.1015,0.1409,3.2522,3.3059
2024-04-19→2024-04-28,999,0.1052,0.1419,3.3834,3.425
2024-07-20→2024-07-29,42,0.1171,0.1552,1.8804,1.8801
2024-07-20→2024-07-29,7,0.1148,0.1509,1.8435,1.8472
2024-07-20→2024-07-29,123,0.113,0.1539,1.8144,1.8118
2024-07-20→2024-07-29,2024,0.1284,0.1639,2.0556,2.0726
2024-07-20→2024-07-29,999,0.1299,0.1659,2.0788,2.0969
2024-09-15→2024-09-24,42,0.159,0.211,2.4731,2.4497
2024-09-15→2024-09-24,7,0.1678,0.2243,2.6263,2.5822
2024-09-15→2024-09-24,123,0.1621,0.2237,2.5369,2.4992
2024-09-15→2024-09-24,2024,0.1611,0.2177,2.5165,2.4814
2024-09-15→2024-09-24,999,0.1563,0.2072,2.4268,2.4128
2024-11-20→2024-11-24,42,0.1393,0.1845,2.312,2.3202
2024-11-20→2024-11-24,7,0.1332,0.1764,2.1882,2.2133
2024-11-20→2024-11-24,123,0.1745,0.2164,2.9053,2.9626
2024-11-20→2024-11-24,2024,0.1549,0.2012,2.5348,2.5796
2024-11-20→2024-11-24,999,0.1451,0.1906,2.3768,2.4065
2024-12-13→2024-12-22,42,0.1941,0.2589,3.5451,3.5241
2024-12-13→2024-12-22,7,0.1977,0.2613,3.6026,3.5879
2024-12-13→2024-12-22,123,0.1917,0.2668,3.6067,3.5378
2024-12-13→2024-12-22,2024,0.1881,0.2443,3.4235,3.4092
2024-12-13→2024-12-22,999,0.1973,0.255,3.5824,3.579
