fatia,modelo,MAE,RMSE,MAPE,sMAPE
2024-04-19→2024-04-28,persistencia,0.1536,0.2046,4.8699,4.8847
2024-04-19→2024-04-28,sazonal_naive_288,0.124,0.1822,4.0071,4.0897
2024-04-19→2024-04-28,media_movel_288,0.1615,0.2084,5.1447,5.2271
2024-04-19→2024-04-28,lstnet_mean13,0.1042,0.1421,3.3655,3.4004
2024-04-19→2024-04-28,lgbm,0.1203,0.1692,3.8542,3.9626
2024-04-19→2024-04-28,dlres_mean,0.099,0.1391,3.1762,3.2205
2024-04-19→2024-04-28,ens,0.0992,0.1376,3.2011,3.2317
2024-07-20→2024-07-29,persistencia,0.1429,0.1893,2.2896,2.2959
2024-07-20→2024-07-29,sazonal_naive_288,0.1316,0.172,2.1052,2.1246
2024-07-20→2024-07-29,media_movel_288,0.1381,0.1672,2.2167,2.2259
2024-07-20→2024-07-29,lstnet_mean13,0.1154,0.1518,1.8516,1.858
2024-07-20→2024-07-29,lgbm,0.221,0.2768,3.5033,3.5973
2024-07-20→2024-07-29,dlres_mean,0.1146,0.1496,1.8328,1.8479
2024-07-20→2024-07-29,ens,0.1093,0.1446,1.7536,1.7582
2024-09-15→2024-09-24,persistencia,0.5584,0.7033,8.6365,8.565
2024-09-15→2024-09-24,sazonal_naive_288,0.1969,0.2737,3.0157,3.02
2024-09-15→2024-09-24,media_movel_288,0.4498,0.5258,6.9544,6.9293
2024-09-15→2024-09-24,lstnet_mean13,0.1535,0.2084,2.3938,2.3632
2024-09-15→2024-09-24,lgbm,0.1589,0.2138,2.4512,2.4396
2024-09-15→2024-09-24,dlres_mean,0.1792,0.2339,2.778,2.7808
2024-09-15→2024-09-24,ens,0.1581,0.2108,2.4624,2.4353
2024-11-20→2024-11-24,persistencia,0.6852,0.8467,11.5248,11.5112
2024-11-20→2024-11-24,sazonal_naive_288,0.1579,0.2181,2.5923,2.6368
2024-11-20→2024-11-24,media_movel_288,0.5478,0.6203,9.137,9.2062
2024-11-20→2024-11-24,lstnet_mean13,0.1368,0.1805,2.2342,2.2644
2024-11-20→2024-11-24,lgbm,0.2558,0.3478,4.2318,4.3949
2024-11-20→2024-11-24,dlres_mean,0.1493,0.2051,2.4562,2.4913
2024-11-20→2024-11-24,ens,0.1304,0.1754,2.135,2.1602
2024-12-13→2024-12-22,persistencia,0.7283,0.9009,13.1756,12.8491
2024-12-13→2024-12-22,sazonal_naive_288,0.2499,0.3616,4.717,4.5526
2024-12-13→2024-12-22,media_movel_288,0.6106,0.7049,11.218,10.8917
2024-12-13→2024-12-22,lstnet_mean13,0.1848,0.2447,3.3859,3.3616
2024-12-13→2024-12-22,lgbm,0.2636,0.327,4.8478,4.8806
2024-12-13→2024-12-22,dlres_mean,0.1842,0.2677,3.4537,3.3679
2024-12-13→2024-12-22,ens,0.1733,0.2383,3.2189,3.1697
